iter	Passed	Remaining
0	0	78
1	1	83
2	2	79
3	3	73
4	3	69
5	4	66
6	4	65
7	5	67
8	6	65
9	7	64
10	7	63
11	8	62
12	9	61
13	9	59
14	10	59
15	11	58
16	11	57
17	12	56
18	12	55
19	13	54
20	14	53
21	14	52
22	15	51
23	15	50
24	16	49
25	17	48
26	17	48
27	18	47
28	19	47
29	20	46
30	20	46
31	21	45
32	21	44
33	22	43
34	23	43
35	24	42
36	24	42
37	25	41
38	26	40
39	26	40
40	27	39
41	27	38
42	28	37
43	28	36
44	29	36
45	30	35
46	30	34
47	31	34
48	32	33
49	32	32
50	33	31
51	33	31
52	34	30
53	35	29
54	35	29
55	36	28
56	36	27
57	37	27
58	38	26
59	38	25
60	39	25
61	39	24
62	40	23
63	41	23
64	41	22
65	42	21
66	42	21
67	43	20
68	44	19
69	44	19
70	45	18
71	45	17
72	46	17
73	46	16
74	47	15
75	47	15
76	48	14
77	48	13
78	49	13
79	50	12
80	50	11
81	51	11
82	51	10
83	51	9
84	52	9
85	52	8
86	53	7
87	53	7
88	54	6
89	54	6
90	55	5
91	56	4
92	56	4
93	56	3
94	57	3
95	57	2
96	58	1
97	58	1
98	59	0
99	59	0
